"GJK_Browscap_Version","GJK_Browscap_Version"
"5029","Thu, 08 May 2014 07:17:44 +0000"
"PropertyName","AgentID","MasterParent","LiteMode","Parent","Comment","Browser","Version","MajorVer","MinorVer","Platform","Platform_Version","Alpha","Beta","Win16","Win32","Win64","Frames","IFrames","Tables","Cookies","BackgroundSounds","JavaScript","VBScript","JavaApplets","ActiveXControls","isMobileDevice","isTablet","isSyndicationReader","Crawler","CssVersion","AolVersion"
"DefaultProperties","2","true","true","","DefaultProperties","DefaultProperties","0.0","0","0","","","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","0","0"
"Mozilla/* (compatible; MSIE 7.0*; *Windows NT 5.1*)*","44238","false","true","IE 7.0","IE 7.0","IE","7.0","7","0","WinXP","5.1","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","2","0"
"Mozilla/* (compatible; MSIE 8.0*; *Windows NT 5.1*Trident/4.0*)*","44294","false","true","IE 8.0","IE 8.0","IE","8.0","8","0","WinXP","5.1","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","2","0"
"Mozilla/* (compatible; MSIE 8.0*; *Windows NT 6.1*Trident/4.0*)*","44303","false","true","IE 8.0","IE 8.0","IE","8.0","8","0","Win7","6.1","false","false","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","2","0"
"Mozilla/5.0 (*Mac OS X 10.9*) Gecko/* Firefox/28.0*","40956","false","true","Firefox 28.0","Firefox 28.0","Firefox","28.0","28","0","MacOSX","10.9","false","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 5.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/34.*Safari/*","9506","false","true","Chrome 34.0","Chrome 34.0","Chrome","34.0","34","0","WinXP","5.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*) AppleWebKit/* (KHTML, like Gecko)*Chrome/34.*Safari/*","9512","false","true","Chrome 34.0","Chrome 34.0","Chrome","34.0","34","0","Win7","6.1","false","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/*(*Windows NT 6.1*Trident/7.0*rv:11.0*)*","43894","false","true","IE 11.0","IE 11.0","IE","11.0","11","0","Win7","6.1","false","true","false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) Gecko/* Firefox/24.0*","40580","false","true","Firefox 24.0","Firefox 24.0","Firefox","24.0","24","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
"Mozilla/5.0 (*Windows NT 6.1*WOW64*) Gecko/* Firefox/28.0*","40972","false","true","Firefox 28.0","Firefox 28.0","Firefox","28.0","28","0","Win7","6.1","false","false","false","false","true","true","true","true","true","false","true","false","true","false","false","false","false","false","3","0"
